time,FWI,tasmax,pr,sfcWind,scenario,h2o
2080,18.064447878080458,302.85672,5.9158454,3.1750228,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017635265
2081,21.780208418913674,303.6093,4.839214,3.1097915,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017551772
2082,18.11771739718719,302.74902,6.021527,3.2083032,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017461028
2083,23.419908474530978,303.06577,5.7488723,3.1744897,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01774576
2084,26.12416225783866,303.83994,5.0062604,3.2145164,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017529521
2085,27.027210316623563,303.0225,5.637167,3.305713,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017589184
2086,14.842394216832776,302.88382,6.20847,3.0958192,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01760889
2087,16.612211116388742,303.01868,5.1552095,3.1230545,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01747664
2088,22.26855767087774,302.99896,5.5880523,3.1493456,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017517107
2089,23.451890150544124,303.6782,5.0677695,3.1504815,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017610237
2090,19.00643112976895,303.35828,5.5414624,3.0303586,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017635558
2091,20.012589883463544,303.54602,5.867298,3.0846126,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01753722
2092,17.780799744325883,303.07846,4.7770214,3.356096,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017333796
2093,27.70050896382884,303.02426,4.9652047,3.23036,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017513262
2094,24.80121798637032,303.8067,4.7223053,3.2966378,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017597286
2095,17.638047022840404,302.8887,5.806255,3.027129,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017581329
2096,19.67552112119388,302.91818,5.592568,3.1766186,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017519683
2097,20.47763503867622,302.94885,5.015357,3.3086147,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01748882
2098,25.457135201240035,303.45584,5.59753,3.2988625,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017516842
2099,20.62806579614375,302.74927,5.3141503,3.253785,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01766172
2100,22.659827924408546,303.74036,4.804594,3.154545,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017544443
